"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"1/22/2018","National Stores, Inc.","Street Gardena","California","HACK","BSR","609,064","On December 22, 2017, National Stores received an alert that its point-of-sale systems were affected by malware, and that customer payment card information may have been accessed without authorization. National Stores immediately launched an investigation and engaged digital cybersecurity firms to assist with the investigation. National Stores also contacted the Federal Bureau of Investigation and payment card brands to prevent fraudulent activity on payment cards that may have been affected. The affected payment card holders have not yet been identified, although National Stores is diligently attempting to do so. Additional Information on this security breach is provided by the Office of the Indiana Attorney General.","Security Breach Letter","",2017,33.914358,-118.303665,NA,NA,"",609064,2018-01-22,2018-01-22,0.185069964500144,-1.68702133891103,13.3196786314824,0
"1/22/2018","Questar Assesment","Jefferson County","Mississippi","HACK","EDU","663"," Mississippi education officials said Monday that a recently disclosed data breach by a testing vendor has exposed information from 663 students in Tupelo and Jefferson County.State Superintendent Carey Wright said that Questar Assessment believes an unauthorized user gained access to records from 2016 tests for 490 students at Tupelo Middle School, 72 at Tupelo High School and 101 at Jefferson County Junior High on Dec. 31 or Jan. 1.Among the items exposed were student names, state identification numbers, grade levels, teacher names and test results. Mississippi officials say they don't share addresses or Social Security numbers with Questar.","Media","https://www.usnews.com/news/best-states/new-york/articles/2018-01-22/breach-at-testing-vendor-exposes-mississippi-students-data",2016,39.58003,-105.266293,NA,NA,"",663,2018-01-22,2018-01-22,0.658877609064803,-0.417217483936325,6.49677499018586,0
"1/22/2018","Netcracker Technology Corporation","Waltham","Massachusetts","HACK","BSR","9","Between approximately January 4, 2018 and January 12, 2018, Netcracker learned that a few of its employees were the target of an e-mail phishing incident. Those employees received an email that appeared to be from Netcracker's payroll provider, Automatic Data Processing (â€œADPâ€). Employees who clicked on a link in the e-mail and entered their ADP login information on the landing page enabled access by the scammer to their ADP account and to view personal information in that account. The account contains employees' personal information, including financial account number, e-mail address and ADP username with password or security question and answer, and Social Security number. The employee's ADP account does not contain driver's license number or state identification card number, any credit or debit card number, or medical or health insurance information.","Security Breach Letter","",2018,42.376485,-71.235611,NA,NA,"",9,2018-01-22,2018-01-22,0.72369075124152,-0.323391117015512,2.19722457733622,0
"1/22/2018","Housing Authority of the City of Charlotte","Charlotte","North Carolina","HACK","GOV","341","An email was sent purportedly from the CEO requesting W-2s for 2016 and 2017. The staff member thought it was the CEO and sent the information.","Security Breach Letter","",2018,35.227087,-80.843127,NA,NA,"",341,2018-01-22,2018-01-22,0.897848492022604,-0.107753942038322,5.83188247728352,0
"1/22/2018","Tx: Team Rehab, Inc.","Indianapolis","Indiana","HACK","MED","56","Tx:Team suffered a hack on 10/30/2017 that affected 6 records, including SS numbers as well as names and credit card or financial account information.","Security Breach Letter","",2017,39.768403,-86.158068,NA,NA,"",56,2018-01-22,2018-01-22,0.943697054404765,-0.0579500812856028,4.02535169073515,0
"1/22/2018","The Coca-Cola Company","Atlanta","Georgia","HACK","BSR","2,181","In July, 2017, The Coca-Cola company suffered a phishing attack that resulted in the exposure of 2181 records, which included social security numbers. ","Security Breach Letter","",2017,33.748995,-84.387982,NA,NA,"",2181,2018-01-22,2018-01-22,0.954378136899322,-0.0466953161522217,7.68753876620163,0
"1/22/2018","Robert Smith DMD, PC","","TN","HACK","MED","1500","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2018,NA,NA,NA,NA,"",1500,2018-01-22,2018-01-23,1,0,7.3132203870903,0
"1/23/2018","Carite Inc.","Madison Heights","Michigan","HACK","BSO","346","On 1/17 2018 Carite Inc. suffered a breach affecting 346 records, including social security numbers and names. ","Security Breach Letter","",2018,42.485869,-83.105203,NA,NA,"",346,2018-01-23,2018-01-23,0.370357065927237,-0.993287695651953,5.84643877505772,0
"1/23/2018","Revolution Partners, LLC","Memphis","Tennessee","HACK","BSF","228","On December 14, 2017, our client, Revolution Partners, discovered that an unauthorized individual may have gained access to an employee's email account. When Revolution Partners learned of this, they immediately reset all email account passwords and began an investigation to determine the scope of the incident. Revolution Partners also hired an outside forensic investigation firm to assist in their investigation. Revolution Partners submits this notice after learning that some of the potentially accessed email messages contained the name, address, and Social Security number for two (2) North Carolina residents. Revolution Partners began notifying individuals by U.S. Mail on January 22, 2018 in accordance with North Carolina law in substantially the same form as the document enclosed herewith. Revolution Partners is also offering affected individuals one year of identity theft protection services through Experian has provided a dedicated phone number to answer any questions that individuals may have regarding the incident.","Security Breach Letter","",2017,35.149534,-90.04898,NA,NA,"",228,2018-01-23,2018-01-25,2,0.693147180559945,5.42934562895444,0
"1/25/2018","The National Registry of Emergency Medical Technicians","Columbus","Ohio","HACK","MED","843","On 11/17/2017 The National Registry of Emergency Medical Technicians suffered a hack affecting 843 records, including first and last names, address information ,and Social Security numbers. ","Security Breach Letter","",2017,39.961176,-82.998794,NA,NA,"",843,2018-01-25,2018-01-26,1,0,6.73696695800186,0
"1/26/2018","Goldleaf Partners Services, Inc.","Bloomington","Minnesota","HACK","BSF","6,020","On 10/31/2017 Goldleaf Partners Services, Inc. suffered a hack that affected 6020 records, including Social Security numbers as well as names and credit card or financial account information.","Security Breach Letter","",2017,39.165325,-86.526386,NA,NA,"",6020,2018-01-26,2018-01-26,0.011149508645758,-4.49635984969204,8.70284253830287,0
"1/26/2018","Member First Mortgage, LLC","Grand Rapids","Michigan","HACK","BSF","36,840","On 11/25/2017 Member First Mortgage, LLC, experienced an unauthorized access to their internal systems exposing 36840 records, including Social Security numbers as well as names and credit card or financial account information. ","Security Breach Letter","",2017,42.96336,-85.668086,NA,NA,"",36840,2018-01-26,2018-01-26,0.781017540255561,-0.247157670680737,10.5143394903692,0
"1/26/2018","Pentair Aquatic Eco Systems, Inc.","Apopka","Florida","HACK","BSO","239","Pentair Aquatic Eco Systems, Inc., suffered a hack on 12/19/2017 that resulted in the exposure of 239 records, which included names, credit card or financial account information and debit card numbers.","Security Breach Letter","",2017,28.693408,-81.532215,NA,NA,"",239,2018-01-26,2018-01-26,0.940308712190017,-0.0615470404117968,5.47646355193151,0
"1/26/2018","Scoppechio","Louisville","Kentucky","HACK","BSO","204","Scoppachio, an advertising agency, experienced a phishing incident that resulted in the exposure of 204 records.","Security Breach Letter","",2018,38.254687,-85.757612,NA,NA,"",204,2018-01-26,2018-02-01,6,1.79175946922805,5.31811999384422,0
"2/1/2018","Ventiv Technology, Inc.","Atlanta","Georgia","HACK","BSO","239","Ventiv Technology, Inc. experienced a phishing attack and exposed the records of 239 individuals. The breach occurred from 10/14/17 until 12/5/17, was discovered on 1/5/18 and Ventiv began notifying consumers on 2/1/2018. Information that was exposed included Social Security numbers.","Security Breach Letter","",2017,33.877891,-84.458103,NA,NA,"",239,2018-02-01,2018-02-01,0.3574057451915,-1.02888360142378,5.47646355193151,0
"2/1/2018","Coastal Cape Fear Eye Associates, P.A.","","NC","HACK","MED","925","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2018,NA,NA,NA,NA,"",925,2018-02-01,2018-02-01,0.747635063482448,-0.290840303106172,6.82979373751242,0
"2/1/2018","Department of Homeland Security","","District Of Columbia","HACK","GOV","246,167","A data breach at the Department of Homeland Security has exposed the personal information of more than 240,000 current and former DHS employees, such as their social security numbers, dates of birth, positions, grades, and duty stations, the agency said. On January 3, 2018, select DHS employees received notification letters that they may have been impacted by a privacy incident related to the DHS Office of Inspector General (OIG) Case Management System.  The privacy incident did not stem from a cyber-attack by external actors, and the evidence indicates that affected individual’s personal information was not the primary target of the unauthorized unauthorized transfer of data.What we know: The department said the breach was not carried out as part of a ""cyber-attack by external actors."" Instead, the data was discovered in the possession of a former employee of the agency's Office of Inspector General during an ongoing criminal investigation last MayGo deeper with the department's full memo. ","Government Agency","https://www.dhs.gov/news/2018/01/18/privacy-incident-involving-dhs-oig-case-management-system-update",2017,37.09024,-95.712891,NA,NA,"",246167,2018-02-01,2018-02-01,0.993749226210639,-0.00627039166985942,12.4137654463807,0
"2/1/2018","Forrest General Hospital","","MS","HACK","MED","1670","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2018,NA,NA,NA,NA,"",1670,2018-02-01,2018-02-02,1,0,7.4205789054108,0
"2/2/2018","Ron's Pharmacy Services","San Diego","California","HACK","MED","500","On October 3, 2017, Ron’s Pharmacy identified unusual activity in an employee email account. Ron’s Pharmacy immediately changed the employee’s credentials and commenced an investigation, with the assistance of third-party forensic investigators, to determine what happened. As part of this investigation, determined that the employee’s email account was subject to unauthorized access and certain emails were viewed as a result of the unauthorized individual(s) using software to crack the employee’s email account password. On December 21, 2017, as part of Ron’s Pharmacy’s ongoing investigation, it was determined that the following information relating was accessed:  names,  internal account numbers at Ron’s Pharmacy, prescription medication information, and payment adjustment information, which relates to credits made to accounts. Importantly, no Social Security, health insurance, or financial account information was accessed.","","",2017,32.715738,-117.161084,NA,NA,"",500,2018-02-02,2018-02-02,0.475825038738549,-0.742705057994855,6.21460809842219,0
